count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_17.thisRepN,trials_17.thisTrialN,trials_17.thisN,trials_17.thisIndex,story_list_block1,action_list_block1,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_18.started,image_18.stopped,text_69.started,text_69.stopped,recall_audio.filename,recall_audio.started,recall_audio.stopped,key_resp_25.keys,key_resp_25.rt,key_resp_25.started,key_resp_25.stopped,text_80.started,text_80.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,[14 34 12 43 21 32 23 41],[2 3 4 4 3 1 1 2],9.286139324998660,None,space,1.0885304959992900,9.286139324998660,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11821,1,2,0,3,0,1,0,42,2022_Jan_18_1058,recall_fmri,3.2.4,59.76650350720090,
0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,10.393878001999800,None,equal,33.711285392997500,10.393878001999800,None,34.83923212599980,10.393878001999800,None,10.393878001999800,None,0.0003182889995514420,44.12769039900010,None,5.9996453460007600,50.13522489599930,None,space,1.897173252000360,50.13522489599930,None,50.13522489599930,None,50.13522489599930,None,7.941797221999880,8.482025528999660,52.14423562400040,None,52.14423562400040,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/011821_bk1_recall_fmri_wav/recall_audio-1642521537.129.wav,0.007252261002577140,None,space,0.438061270997423,52.14423562400040,None,52.14423562400040,None,11821,1,2,0,3,0,1,0,42,2022_Jan_18_1058,recall_fmri,3.2.4,59.76650350720090,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.48476984700028,52.6103956650004,None,14.482757425998000,,,,,,,,,,,,,,,,,,,,,,,,,,11821,1,2,0,3,0,1,0,42,2022_Jan_18_1058,recall_fmri,3.2.4,59.76650350720090,
1,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.48502430499870,58.61922812899870,58.61922812899870,20.507328605999600,,,,,,,,,,,,,,,,,,,,,,,,,,11821,1,2,0,3,0,1,0,42,2022_Jan_18_1058,recall_fmri,3.2.4,59.76650350720090,
2,,,,,0,0,0,0,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,64.63567438099930,None,space,0.9004908709976010,64.63567438099930,None,64.63567438099930,None,64.63567438099930,None,21.433352247000600,21.815489985001500,65.57697717200060,None,65.57697717200060,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/011821_bk1_recall_fmri_wav/recall_audio-1642521550.563.wav,0.014828467603365400,None,space,0.33467949099940600,65.57697717200060,None,65.57697717200060,None,11821,1,2,0,3,0,1,0,42,2022_Jan_18_1058,recall_fmri,3.2.4,59.76650350720090,
2,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.818419924999000,65.94388653399800,None,27.815962445998600,,,,,,,,,,,,,,,,,,,,,,,,,,11821,1,2,0,3,0,1,0,42,2022_Jan_18_1058,recall_fmri,3.2.4,59.76650350720090,
3,,,,,0,0,0,0,0,3,3,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,71.9448725939983,None,2,6.369118791000800,71.9448725939983,None,71.9448725939983,None,71.9448725939983,None,34.23278924799890,191.64915769299800,78.37704718600070,None,78.37704718600070,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/011821_bk1_recall_fmri_wav/recall_audio-1642521563.363.wav,0.014507954598229800,None,2,157.38209759400300,78.37704718600070,None,78.37704718600070,None,11821,1,2,0,3,0,1,0,42,2022_Jan_18_1058,recall_fmri,3.2.4,59.76650350720090,
3,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.65318741100100,235.7773297800010,None,197.64987663900000,,,,,,,,,,,,,,,,,,,,,,,,,,11821,1,2,0,3,0,1,0,42,2022_Jan_18_1058,recall_fmri,3.2.4,59.76650350720090,
4,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.65289108900100,241.77768552899900,241.77768552899900,203.64987207599900,,,,,,,,,,,,,,,,,,,,,,,,,,11821,1,2,0,3,0,1,0,42,2022_Jan_18_1058,recall_fmri,3.2.4,59.76650350720090,
5,,,,,0,0,0,0,0,5,5,5,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,247.78373622600000,None,2,2.367418453999560,247.78373622600000,None,247.78373622600000,None,247.78373622600000,None,206.05051839500100,352.84881358200100,250.19409352900000,None,250.19409352900000,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/011821_bk1_recall_fmri_wav/recall_audio-1642521735.182.wav,0.01252088060209640,None,2,146.75194629999900,250.19409352900000,None,250.19409352900000,None,11821,1,2,0,3,0,1,0,42,2022_Jan_18_1058,recall_fmri,3.2.4,59.76650350720090,
