sentence_number,storyText,locationEvent,socialEvent,story,socialAnswer,locationAnswer
1,Mr. Shelton and Mr. Gordon shook hands inside the waiting area of the restaurant: lunch today was about big business. ,1,1,31,,
2,They were both in the airplane manufacturing industry.,1,1,,,
3,"Mr. Shelton was the CFO of a large, well-established company and had been in the aviation business for decades.",1,1,,1,
4,Mr. Gordon was the CEO of a smaller but technologically-advanced company that was projected to disrupt the airplane manufacturing market. ,1,1,,,
5,"They chose to meet at an old steakhouse with dark wood paneling on the floor and ceilings, taxidermied animals on the walls, and a candelabra on every table.",1,1,,,1
6,The waitress took them to the back of the restaurant and seated them in a private booth. ,2,1,,,
7,"She brought out the menus, and they briefly chatted about personal happenings. ",2,1,,,
8,"Mr. Shelton took out a picture of his daughter and talked about her recent engagement, and Mr. Gordon mentioned his purchase of a Tesla. ",2,1,,,
9,They also looked over the menus which were heavy and covered in felt.,2,1,,,2
10,Flipping to the back of the menu brought one to a lengthy drink selection.,2,1,,,
11,"Then, Mr. Shelton said, “Look, I’ve talked to other members of the board, and we are prepared to offer $600 million to buy your company. ",2,2,,2,
12,"“Mr. Gordon, we really admire what you’re doing at your company.",2,2,,,
13,We think it’s genius; we want to support your vision and make this tiny company of yours internationally known.,2,2,,,
14,"But honestly, your company doesn’t have the resources to reach international markets right now.",2,2,,,
15,"Maybe in a few years you could, but by that time, other companies may have already filled your niche.",2,2,,,
16,"We'd keep on all of your current employees, and you would join as the director of your company branch.” ",2,2,,,
17,I think we should join forces.”,2,2,,,
18,The waitress arrived and asked for their orders.,3,2,,,
19,"Mr. Gordon chose the medium-rare steak and a martini, and Mr. Shelton ordered the veal and a manhattan. ",3,2,,,3
20,"Mr. Gordon looked at Mr. Shelton skeptically for a few moments considering his response until he said, “Mr. Shelton, I think that you make a compelling offer, but there are definitely some disadvantages to attaching our small, streamlined productions to a large company like yours.",3,3,,,
21,"We operate in a very different way than a large company, and the kind of administrative complexity that makes the scale of your productions possible would suffocate our business.",3,3,,,
22,"With our product, scaling-up doesn’t necessarily make sense.” ",3,3,,,
23,Mr. Shelton had expected this response and had come prepared.,3,3,,,
24,He began laying out the details of how he had handled similar acquisitions successfully in the past.,3,3,,,
25,"He also played out projections of how Mr. Gordon’s company could out-compete their own main competitor in the industry, TechJet, by using the resources of a larger corporation. ",3,3,,3,
26,"Mr. Gordon was impressed, and they went back and forth hashing out what the company configuration would look like post-merger. ",3,3,,,
27,The waitress brought out their food on a large tray.,4,3,,,
28,“Oh this looks so good!” Mr. Gordon said. ,4,3,,,
29,“Can I get you anything else?” the waitress asked.,4,3,,,
30,They declined and began to eat. ,4,3,,,
31,The meal was subpar- they both found the meat to be overcooked and dry. ,4,3,,,4
32,"Mr. Gordon, after taking a contemplative bite and swallowing, looked Mr. Shelton straight in the eye and said, “Mr. Shelton, we have a deal. ",4,4,,,
33,"If you can guarantee that I can still have the final say in all the work done by my team, I think this could be beneficial for both of us.",4,4,,,
34,I propose a toast to the merging of our companies.”,4,4,,4,
35,Mr. Shelton grinned and lifted his martini to clink glasses.,4,4,,,
36,"He said, “Cheers to a lifelong partnership and to the growth of our company.” ",4,4,,,
