sentence_number,storyText,locationEvent,socialEvent,story,socialAnswer,locationAnswer
1,"Charlie saw Alma as she walked into lecture, and he motioned for her to come sit in the back next to him because they had a deal to discuss.",1,1,34,,
2,Charlie and Alma were both history majors with entrepreneurial bents.,1,1,,,
3,They were also both very busy and happened to be in the same class.,1,1,,,
4,"After talking at a party, Charlie had discovered that Alma was looking for financing for her web development company of which she was the founder and CEO.",1,1,,1,
5,"It was serendipitous because he was a fund manager for a student finance group on campus, and he had just been talking with other members of the group about making a new investment. ",1,1,,,
6,"His financial group had come to a decision that morning about Alma’s startup, and he didn't want to wait until after class to discuss the proposal with her. ",1,1,,,
7,The class was in a medium-sized auditorium which was brightly lit and very modern-looking. ,1,1,,,1
8,There were three projector screens in the front and each row of the audience had a table with power outlets and USB ports. ,1,1,,,
9,"“Here we are at Lecture Seven of Archaeology of Rome,” said the professor. ",2,1,,,2
10,"“The topic for today is Augustus, an incredibly important influence in Roman architecture.” ",2,1,,,
11,She went into some recap of the last lecture.,2,1,,,
12,"Charlie turned to Alma and said, “Okay, so I’ve been thinking about your startup, and I have talked about it with my fellow investors.",2,2,,,
13,We’d like to invest half of what you originally suggested.,2,2,,,
14,"So we propose we start with wiring you $28,000.",2,2,,2,
15,We would see how the company does and then invest the other half.” ,2,2,,,
16,"The professor said, “The senate had conferred upon him the title of Augustus, the sacred and revered one, the restorer of traditional values, the city’s new religious leader, the restorer of temples. ",3,2,,,3
17,"Augustus also sought to beautify Rome, make it into a new Athens, and dispel the criticisms of Rome as disorganized and ugly.”",3,2,,,
18,"Alma turned to Charlie and offered her rebuttal, “I don’t know about that.",3,3,,,
19,It’s not going to be possible to implement our objectives effectively unless the project is fully funded. ,3,3,,,
20,"We would have to find other investors like your competitor on campus, Churchill Capital Group, and that would set us back in our timeline. ",3,3,,3,
21,"Our profit projections assumed we'd be starting relatively soon, not months down the line.” ",3,3,,,
22,They whispered back and forth during the entire class working out a compromise. ,3,3,,,
23,The professor dismissed the students with a reminder that the midterm paper was due on Thursday and that they should email their papers to the TA.,4,3,,,4
24,"Everyone, except Charlie and Alma, packed up their things and headed out of the lecture hall. ",4,3,,,
25,"“Alright, so we’ll have the $56,000 wired to you by tomorrow,” Charlie said. ",4,4,,,
26,"This wasn't ideal for Charlie, but Alma had refused to budge, and his investment group had told him they were willing to pay the full amount if necessary. ",4,4,,,
27,They got up and hugged in confirmation of the deal and made plans to sign the official paperwork the next day. ,4,4,,4,
