sentence_number,storyText,locationEvent,socialEvent,story,socialAnswer,locationAnswer
1,"Henry walked into lecture with Maria, who was mentally rehearsing what she should say to break up with him.",1,1,14,,
2,She had been putting it off with a growing sense of dread since she started to think about breaking up a week ago.,1,1,,1,
3,Now this lecture was the last chance to do it. ,1,1,,,
4,"The lecture hall was large, with a stage for the lecturer in the front of the room, and 15 tiered rows of desks. ",1,1,,,1
5,Maria and Henry slid into neighboring seats near the back of the room.,1,1,,,
6,"The professor opened up the lecture with a hearty greeting, “Good afternoon, everybody.”",2,1,,,
7,"As he fiddled with the cords to connect his laptop to the projector, he continued to say, “Welcome to Week 4 of Intro to Ancient Philosophy. ",2,1,,,
8,Today we are going to have our lecture on Aristotelian Philosophy.”,2,1,,,2
9,Mostly everyone in class was taking notes.,2,1,,,
10,"Maria, leaning into Henry’s desk, said, “Henry, I think we should- I think we should break up because I don’t think I can do long distance.",2,2,,2,
11,"I think what we have here is great, but I think it will be really hard when we are so far apart for so long during my study abroad.",2,2,,,
12,"I’m sorry I’m telling you now in lecture, but you know, I have to leave for the airport after class and this is really hard for me to tell you.",2,2,,,
13,"I just know when I’m there I’m going to be so busy, and I really want to be immersed in the life of the place I’m in.”",2,2,,,
14,"The professor said, “We will now talk about one of Aristotle’s works, The Categories.",3,2,,,3
15,"This text, as you might have been able to guess, is about the kinds, or categories, of things that there are.",3,2,,,
16,"In fact, our term category comes from this Aristotelian context.",3,2,,,
17,"The Categories, traditionally interpreted as an introduction to Aristotle’s logical work, divides all of  being into ten categories.” ",3,2,,,
18,"Henry felt horrible, and he whispered back, “Maria, I don’t want to break up with you because I love you.",3,3,,3,
19,"I’ll come visit you, and it will be fine.",3,3,,,
20,I don’t want to break up.”,3,3,,,
21,"Maria felt so guilty that she nearly gave in, but she forced herself to hold her ground, knowing that this would make things much easier for both of them in the future.",3,3,,,
22,She gave his hand a squeeze but shook her head sadly before turning back to look at her empty desk. ,3,3,,,
23,"The professor wrapped up, “Alright, class, that’s all for today.",4,3,,,
24,"Remember the final exam is coming up next week on Tuesday on the Pre-Socratics, Plato, and Aristotle, so feel free to come by office hours to discuss if you have the inspiration.",4,3,,,4
25,"If anyone has any conflicts with another exam, please email me so that we can figure out a time to reschedule. ",4,3,,,
26,"Have a good day, folks.” ",4,3,,,
27,"Maria and Henry packed up hurriedly, and they hugged; both of them had tears. ",4,4,,,
28,"“Maria, I don’t want you to leave.",4,4,,,
29,I don’t want this to end. ,4,4,,,
30,"But if this is what you want, I can’t make it otherwise.” ",4,4,,,
31,"They hugged one last time, and then Maria remembered she had left her favorite Alpaca sweater in Henry’s room.",4,4,,,
32,"“Henry, I’m so sorry to ask this now but could you grab my alpaca sweater from your dorm and meet me in front of the student center?”",4,4,,4,
33,"He agreed, and she ran off to get her things from her dorm as he sadly watched her go. ",4,4,,,
