sentence_number,storyText,locationEvent,socialEvent,story,socialAnswer,locationAnswer
1,"Alvira and Senna walked into the restaurant hand in sweaty hand with quite different expectations for the night because Senna, after 5 years of dating, was going to propose, and Alvira had no idea.",1,1,21,1,
2,"He took a deep breath, trying to calm his nerves as worst case scenarios ran through his mind. ",1,1,,,
3,The restaurant was on the beach and had floor-to-ceiling arched windows that framed an incredible view of the Pacific Ocean.,1,1,,,1
4,"Besides the view, the restaurant itself was beautiful- crystal chandeliers hung from the high ceiling above small tables covered with white table cloths.
",1,1,,,
5,This was surely one of the best restaurants on the West Coast.,1,1,,,
6,"After Senna gave his name to the host, who discretely winked at Senna, they were seated at a table right by the window. ",2,1,,,
7,The waiter brought out some very small menus.,2,1,,,2
8,"They consisted of a short list of the head chef's carefully selected dishes of the day written in a loopy, cursive font unadorned by any mention of prices.",2,1,,,
9,"While Alvira was away at the powder room, Senna took out the ring box from his jacket pocket and opened it up.",2,2,,,
10,The ring contained three canary yellow diamonds that had been in his grandmother’s wedding ring. ,2,2,,2,
11,"The waiter appeared to take their order, but before Alvira got back, so that Senna could give him the ring.",3,2,,,
12,"Senna ordered the oysters with garlic-parmesan sauce, and Alvira ordered the sauteed sea scallops with caramelized apples. ",3,2,,,3
13,"“Excellent choices,” the waiter said.",3,2,,,
14,"When the waiter left, Alvira said, “You’re too sweet, Senna. ",3,2,,,
15,"This is too much just to celebrate the first tomatoes I grew in the garden- really, this is absurd.”",3,2,,,
16,"Senna laughed and said, “No, those were really the best tomatoes I’ve ever had. ",3,2,,,
17,We had to celebrate.” ,3,2,,,
18,"They talked and laughed as the sun sank below the horizon, lighting up the sky and water, and slowly the glow from the windows was replaced by the that of chandeliers.",3,2,,,
19,The waiter returned with their dishes.,4,2,,,
20,"Everything was even more delicious than they had expected, especially the oysters, which Senna said tasted like the ocean. ",4,2,,,4
21,"As they were eating, Senna recounted to Alvira how they had met, and he told her in many words how much he loved her and what he loved about her, almost tearing up at moments. ",4,2,,,
22,"Senna nodded at the waiter, who placed a small cake topped with the ring in front of Alvira, while Senna got down on one knee and asked Alvira to marry him.",4,3,,3,
23,Her eyes widened in shock when she realized what was happening.,4,3,,,
24,"“I love you, and I will never stop loving you,” he said. ",4,3,,,
25,"After a few moments of silence with everyone turned and looking at Alvira in expectation, she exclaimed, “Yes, of course, yes!”",4,4,,,
26,She hugged Senna with tears flowing down her cheeks. ,4,4,,,
27,"The other guests exploded in applause, and the waiter returned with a bottle of champagne and popped it.",4,4,,,
28,"Senna slipped the ring onto Alvira’s finger, and she held up her hand to admire it.",4,4,,,
29,“I need to text my dad and tell him!” she sang. ,4,4,,4,
30,The whole restaurant proceeded in cheers with them to celebrate the joyous occasion.  ,4,4,,,
