sentence_number,storyText,locationEvent,socialEvent,story,socialAnswer,locationAnswer
1,"James noticed Teresa immediately as she walked into the restaurant- or, more accurately, as she attempted to walk into the restaurant. ",1,1,41,,
2,She was typing intently on her phone and ran straight into the restaurant’s glass door with a painful thud. ,1,1,,,
3,Everyone waiting around the cash register turned.,1,1,,,
4,Teresa rubbed her head and put her phone away. ,1,1,,,
5,She looked somewhat confused but primarily indignant that the door had been in her way. ,1,1,,,
6,"James found this quite charming and stole a couple glances at her, peeking up from the newspaper he was holding, until she noticed and wrinkled her eyebrows at him. ",1,1,,1,
7,James and Teresa had both chosen the least busy time to try out Atlanta’s newest sushi restaurant.  ,1,1,,,
8,It was notable for both the food and the decor. ,1,1,,,
9,"There were pine wood countertops and chairs, plants all along the walls, and branch-looking structures hanging from the ceiling. ",1,1,,,1
10,"The host sat James and Teresa, who were both dining alone, at the bar. ",2,1,,,
11,They sat a seat apart from each other.,2,1,,,
12,"The waitress behind the counter gave them bright neon menus that were filled with entrees in Japanese with small, English translations. ",2,1,,,2
13,James quickly glanced through it while Teresa took a longer time. ,2,1,,,
14,"A few minutes passed until James suddenly turned to Teresa and asked, “Is your forehead alright?”",2,2,,2,
15,She turned to him and smirked.,2,2,,,
16,“Have you ever been stung by a scorpion?” she asked him.,2,2,,,
17,“What?” he responded confusedly.,2,2,,,
18, “A scorpion.”,2,2,,,
19,James began to worry that Teresa had possibly suffered a concussion in the door crash.,2,2,,,
20,"“Uh no, why?” he asked.",2,2,,,
21,"“Because I’ve been stung by one, and since then, things like bumping into doors seem like pretty small potatoes.” ",2,2,,,
22,"They carried on talking, and Teresa told him all about her encounter with a Deathstalker scorpion while she was studying abroad in Egypt, and James told Teresa that he happened to be going to a concert for an Egyptian artist that evening.",2,2,,,
23,"The waitress behind the counter came up to them and asked, “Are you ready for your order?” ",3,2,,,
24,"She first looked at Teresa who answered, “Yes, I’ll have a salmon roll and a Japanese beer.”",3,2,,,3
25,Then the waitress turned to James.,3,2,,,
26,"He said, “I’ll have a tuna roll and a vegetable roll.” ",3,2,,,
27,"“Alright, thank you!” the waitress said.",3,2,,,
28,"When the waitress left, James decided to go for it, and he asked Teresa if she would like to come with him to the concert.",3,3,,3,
29,He promised her that the concert would be indoors and absolutely free of venomous insects.,3,3,,,
30,"Teresa agreed, gave him her number, and they worked out that James would pick her up that evening before the concert and drive them there.",3,3,,,
31,"This was not what they had expected from their solitary lunch plans, and they were both excited, even though Teresa was doing a much better job of hiding it than James. ",3,3,,,
32,"The waitress brought out their food, placing the plates close to each other so James had to sit closer to Teresa on the bench. ",4,3,,,
33,Teresa was happy to share the meal with James. ,4,3,,,
34,They really enjoyed their rolls because the fish tasted very fresh. ,4,3,,,4
35,"James got up to go in a hurry, because he realized it was 3 pm. ",4,4,,4,
36,"He left a $50 bill on the table, and as he left he said that it was for both of them with a wink. ",4,4,,,
37,Teresa laughed and waved goodbye from the bar with her chopsticks. ,4,4,,,
