sentence_number,storyText,locationEvent,socialEvent,story,socialAnswer,locationAnswer
1,"Sven and Isabel walked hurriedly from the cab into the Barcelona Airport after an incredible week with Isabel’s family, and this had wiped away any doubts Sven had had about his decision to propose. ",1,1,22,,
2,"They had only been dating for 11 months, and this had been the first time he had met her family. ",1,1,,1,
3,"They were pressed for time at the airport, with only an hour and 15 minutes until their flight would take off to go back to the US, but they already had their online boarding passes and were without luggage that needed to be checked. ",1,1,,,1
4,"Isabel stopped to rummage through her purse for her phone, and, meanwhile, Sven turned his back to her and took a small, velvet box out of his backpack, opening it to look at the ring he had bought her.",1,2,,,
5,"He had received her parents’ blessing during the trip, and he was almost giddy with excitement. ",1,2,,,
6,He tilted the ring backward and forward for a careful examination despite having already studied the ring daily since purchasing it a few weeks ago. ,1,2,,,
7,It was a simple design: two pink diamonds on a silver band.,1,2,,2,
8,"“Sven, I’m ready,” Isabel said. ",1,2,,,
9,Sven closed the box and discretely put it in his pocket.,1,2,,,
10,"They entered the security line, weaving through the roped walkways to the front. ",2,2,,,
11,"When it was their turn to deposit their things onto the belt, Isabel realized her laptop was buried somewhere in her duffle bag. ",2,2,,,
12,"Luckily, at the same time, there was a stall in the line because someone ahead of them had a suspicious amount of metal pieces on his person. ",2,2,,,2
13,Sven held the growing mound of objects Isabel pulled from her bag until she unearthed the laptop and set it in a bin.,2,2,,,
14,"She then gave her bag to Sven, unstrapped her heels, and took the bag back from Sven.",2,2,,,
15,"Sven, relieved of his holding duties, hurriedly deposited his own backpack on the belt, and took off his shoes. ",2,2,,,
16,"Sven went into the millimeter wave scanner after Isabel, put his hands up, and looked at Isabel as the metal bars whirled around him.",2,2,,,
17,The security guard asked Sven to wait. ,2,2,,,
18,"After looking at the monitor, the security guard said, “Sir, please empty your pockets.”",2,2,,,
19,"Isabel, shoeless, wrinkled her eyebrows and looked at him expectantly.",2,2,,,
20,"Realizing that he had forgotten the ring in his pocket, he grabbed Isabel’s hand, got down on one knee, and opening the velvet box, said, “Isabel, this isn't quite how I'd planned this, but - will you marry me?”",2,3,,3,
21,He held the ring up to her. ,2,3,,,
22,The security guard stood shocked.,2,3,,,
23,All the people who were putting their shoes back on and gathering their belongings stopped and walked closer to the couple.,2,3,,,
24,Isabel didn’t know what to do since she was far too shy to respond in front of all the people around.,2,3,,,
25,"Without responding to Sven, she  let go of his hand and frantically grabbed her and Sven’s shoes from the conveyor belt, leaving Sven to retrieve the rest of their things, and she quickly walked onto the concourse.",3,3,,,
26,"Sven, terrified, grabbed everything and hurried after Isabel onto the concourse shoeless.",3,3,,,
27,Sven eventually caught up to her with their bags and the open ring box.,3,3,,,
28,"She stopped and with wide, excited eyes, shouted, “Yes, I’ll marry you!” ",3,4,,,
29,"Sven dropped their belongings, and they hugged, and Sven put the ring onto Isabel’s finger. ",3,4,,,
30,"“Isabel, you scared me!” he said. ",3,4,,,
31,"After getting their shoes back on, they practically floated to gate C40.",3,4,,,3
32,Sven was so happy that he even high-fived a confused shoe-shine attendant as they passed.,3,4,,,
33,Isabel texted her best friend telling her the news as they walked. ,3,4,,4,
34,"Having arrived at their gate, they waited, until the attendant called for passengers, and they scanned their tickets to board the plane.",4,4,,,
35,"They walked through the connecting tunnel to the plane and sat together in first class, in seats 2A and 2B.",4,4,,,4
36,"Some of their neighboring passengers who had witnessed the proposal at security congratulated them, and a woman next to them showed them that she had been live-tweeting the whole event and that it was already going viral online.",4,4,,,
37,"Isabel slid down in her seat with her hands over her face, embarrassed and overjoyed at the same time.
",4,4,,,
