sentence_number,storyText,locationEvent,socialEvent,story,socialAnswer,locationAnswer
1,"Ariana hurried into the classroom, and Leon did a double-take when he saw her, almost dropping the eraser he had in his hand. ",1,1,44,1,
2,"This was his first day in college, and he had assumed that he wouldn’t know anyone on campus, but he had a strong feeling that he had seen her somewhere before. ",1,1,,,
3,They were in a small classroom with rows of chairs with foldable desks.,1,1,,,1
4,These faced the speaker’s podium and a blackboard on wheels. ,1,1,,,
5,"There were no windows in the room, since they were down in the basement of the History Department.",1,1,,,
6,"Leon, trying to figure out where he had seen her before, could not stop looking over at Ariana.",1,1,,,
7,Ariana was oblivious to Leon’s gaze and was only focused on getting ready for class. ,1,1,,,
8,"“Good morning, everyone,” the professor began.",2,1,,,
9,“Welcome to History of Egypt. ,2,1,,,2
10,"Today we will be talking about mummification, one of the most famous and often misunderstood customs in ancient Egyptian society.”",2,1,,,
11,Leon and Ariana began taking notes. ,2,1,,,
12,"Within a few minutes, though, Leon found his attention wandering from the lecture and back to Ariana, and he decided to do something about it by putting a note on her desk.",2,2,,,
13,"“Are you from LA?” it read, “Sorry to distract you from mummies, but you look really familiar.”",2,2,,2,
14,"She looked at the note with surprise, and then turned to notice Leon for the first time. ",2,2,,,
15,She instantly liked him when she saw him.,2,2,,,
16,She thought he looked trustworthy and genuine.,2,2,,,
17,"Ariana passed the note back to Leon, and she had replied, “No, but maybe my twin and I were separated at birth.”",2,2,,,
18,"The professor continued, “One may well question why the ancient Egyptians spent so much time and effort on their funerary practices.",3,2,,,3
19,"Not only was the mummification process itself a complicated affair, but there were also elaborate rituals before, during, and after death.",3,2,,,
20,The practice required teams of experts with years of training and took a total of 70 days to complete.” ,3,2,,,
21,"They passed notes back and forth the whole class like they were in high school, and Leon wrote in one, “Would you like to go on a walk this evening?”",3,3,,3,
22,"When Ariana read this, she looked at him and nodded her head",3,3,,,
23,"She wrote back on the slip of paper: “Let’s meet at 8 in front of my dorm, Patton Hall.”",3,3,,,
24,The professor ended the lecture and announced to the class that they would have their first quiz next class on Friday on mummification. ,4,3,,,4
25,Everyone packed up and filed out of the classroom except for Ariana and Leon. ,4,3,,,
26,"Ariana spoke first, “I have to go to my next class.”",4,4,,,
27,"She looked at the clock which read noon and headed for the door saying, “I should run, but I’ll see you later tonight!” ",4,4,,4,
28,"She waved as she ran out the door, and Leon was still pondering where he had met her before, even more convinced of his conviction that they had previously met after hearing her voice.",4,4,,,
