sentence_number,storyText,locationEvent,socialEvent,story,socialAnswer,locationAnswer
1,"Carina and Simon, both distracted in thought, nearly ran into each other as they walked into the grocery store. ",1,1,43,,
2,She almost dropped the keys she was holding. ,1,1,,1,
3,"The store they had entered looked like a warehouse, with high, black ceilings, industrial lights, and large packages of food. ",1,1,,,1
4,"In the meat section, Carina and Simon were looking over the same cuts of meat, because they were both preparing for barbecues that evening.",2,1,,,
5,"Simon had wanted to talk to Carina, and Carina had wanted to say something to Simon, but they felt embarrassed striking up a conversation with a stranger.",2,1,,,
6,"Carina mustered the courage, turned to Simon and, pointing at a Cornish hen, asked, “Isn’t this meat cute?”",2,2,,2,
7,"He laughed, and said, “It is very cute.",2,2,,,
8,"Probably the younger brother of this guy,” and he picked up a regular-sized chicken.",2,2,,,
9,"“Unlucky family,” she responded as she shook her head. ",2,2,,,
10,They chatted as they picked out a few last-minute groceries.,2,2,,,
11,"Simon helped Carina select the best ribs and his personal favorite barbecue sauce, and she helped him choose red peppers and spices for a vegetable kabob she recommended.",2,2,,,2
12,"In the checkout area, there were three lines open, and they went to the one labeled “8.”",3,2,,,3
13,"Carina and Simon made jokes about the magazine covers while waiting in line, and they were laughing so hard their stomachs hurt. ",3,2,,,
14,"Simon turned to face Carina and, while looking at her straight in the eyes, asked, “Would you like to go out to dinner with me?",3,3,,,
15,Next Saturday we could tour around Harvard Square and get something to eat.,3,3,,3,
16,"There are a lot of great places around there, and it’s really nice during the summer.”",3,3,,,
17,"Carina smiled, “I’d love to.",3,3,,,
18,That sounds great!”,3,3,,,
19,The cashier scanned Carina’s groceries.,4,3,,,
20,"Simon lifted up the divider on the conveyor belt and said to the cashier, “Actually, these are together.",4,3,,,
21,"Carina, I’ve got it.",4,3,,,
22,This was kind-of a date today.”,4,3,,,
23,Carina blushed and laughed; she thought this was ridiculous but also very sweet. ,4,3,,,
24,"The cashier rolled her eyes when they weren’t looking, and she scanned the rest of his items. ",4,3,,,
25,"The total came to $52, and he paid with his credit card.",4,3,,,4
26,"Seeing that it was 4:30 PM on her phone, Carina gasped because she realized she was late for her own barbecue. ",4,4,,4,
27,Carina thanked Simon and took her groceries and ran. ,4,4,,,
28,"“I hope her guests aren’t hungry,” the cashier remarked.",4,4,,,
29,Simon was thoroughly charmed and barely heard the comment as he watched her go. ,4,4,,,
