sentence_number,storyText,locationEvent,socialEvent,story,socialAnswer,locationAnswer
1,"It didn’t help the situation that Calvin and Jessie were running late to the airport, since Jessie had already been fuming at Calvin and preparing to end the relationship with him.",1,1,12,,
2,"Upon arriving at their terminal, they had only 45 minutes until their international flight would depart from Jamaica for the US.",1,1,,,1
3,"It had been a tough vacation, which was planned well before Jessie began to think of breaking up with Calvin 6 weeks ago.  ",1,1,,1,
4,"Calvin knew that Jessie was upset, but wasn't sure what to do besides attempt to carry on as normal.",1,1,,,
5,"The security line was very short, and once the online boarding passes were scanned, they put their bags on the conveyor belt.",2,1,,,
6,Calvin also took off his belt and watch.,2,1,,,
7,"There was a short halt in security proceedings so that the security guards could change shifts, but, once everything was back in order, they were ushered quickly through the metal detector. ",2,1,,,2
8,"“The infrastructure of this airport is really quite poor,"" said Calvin as they waited for their bags to emerge from the x-ray machine.",2,1,,,
9,“I could've hidden something in my shoes easily.” ,2,1,,,
10,"Jessie, exasperated, scowled at the conveyor belt.",2,1,,,
11,“What?” he asked.,2,1,,,
12,"Balling up her fists and turning to him angrily, she said, “Calvin, I want to break up because I don’t think our personalities are compatible. ",2,2,,2,
13,I think it’s best that once we get to the States we part ways for good.” ,2,2,,,
14,Calvin said nothing as he grabbed his bag and walked down the concourse.,3,2,,,
15,Jessie trailed behind him as they hurried their way quickly toward gate A28.,3,2,,,3
16,“So now you have nothing to say?” Jessie asked. ,3,2,,,
17,"Calvin didn't answer, gritting his teeth and staring straight ahead. ",3,2,,,
18,"He was very frustrated that he felt he had been trying to appease Jessie for the entirety of the vacation, and it seemed to be completely unappreciated. ",3,2,,,
19,"Their silence was punctuated only by the rapid, rhythmic clacking of their suitcase wheels over the tile floor as they continued power-walking through the terminal. ",3,2,,,
20,"Calvin finally turned to address her as they continued walking: “Jessie, this makes perfect sense. ",3,3,,3,
21,"If you feel this way, then I think we should break up because I don’t want to keep boring you.",3,3,,,
22,"I agree, let’s part ways once we make it back.",3,3,,,
23,You should’ve spoken up about my apparent intolerability before you decided to plan this vacation.”,3,3,,,
24,"He was very hurt, even though he didn’t want to show it. ",3,3,,,
25,"Having made it to their gate, they scanned their tickets, and the annoyed flight attendant shooed them onto the plane and then closed the plane door behind them.",4,3,,,
26,"Luckily, they had forgotten to arrange seats next to each other on the flight back.",4,3,,,
27,"They were both in economy, but Jessie was headed for seat 33A while Calvin's seat was 36F. ",4,3,,,4
28,"Before Jessie sat down, she took a deep breath, calmed her emotions, and then awkwardly shook Calvin’s hand, mumbling, “Have a nice flight. ",4,4,,,
29,"Oh, and when you get a chance, could you send me back all the philosophy books I lent you?”",4,4,,4,
30,He laughed in disbelief and walked to his window seat three rows back to get ready for takeoff.,4,4,,,
31,Both were upset but glad that they would have this flight in solitude.,4,4,,,
