count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_20.thisRepN,trials_20.thisTrialN,trials_20.thisN,trials_20.thisIndex,trials_18.thisRepN,trials_18.thisTrialN,trials_18.thisN,trials_18.thisIndex,trials_19.thisRepN,trials_19.thisTrialN,trials_19.thisN,trials_19.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block2,action_list_block2,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_20.started,image_20.stopped,text_75.started,text_75.stopped,recall_audio_2.filename,recall_audio_2.started,recall_audio_2.stopped,key_resp_27.keys,key_resp_27.rt,key_resp_27.started,key_resp_27.stopped,text_79.started,text_79.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[11 44 42 31 13 22 33 24],[2 3 1 3 4 4 1 2],12.074838061000264,None,space,0.5598109829998066,12.074838061000264,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102121,2,3,0,3,0,2,0,66,2021_Oct_21_1511,recall_fmri,3.2.4,60.10760499504684,
0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,12.651953098999911,None,equal,56.405778234000536,12.651953098999911,None,57.01213055000062,12.651953098999911,None,12.651953098999911,None,0.0003655559994513169,69.08972028400058,None,6.016187837999496,75.10721035999995,None,6,0.8717017569997552,75.10721035999995,None,75.10721035999995,None,75.10721035999995,None,6.9129687819995524,120.94520225899942,76.0849039120003,None,76.0849039120003,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/102121_bk2_recall_fmri_wav/recall_audio_2-1634843576.064.wav,0.005390412999986438,None,6,113.92486648900012,76.0849039120003,None,76.0849039120003,None,,,102121,2,3,0,3,0,2,0,66,2021_Oct_21_1511,recall_fmri,3.2.4,60.10760499504684,
0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.94826014699993,190.035404448,None,126.94539914399957,,,,,,,,,,,,,,,,,,,,,,,,,,,,102121,2,3,0,3,0,2,0,66,2021_Oct_21_1511,recall_fmri,3.2.4,60.10760499504684,
1,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.94757160300014,196.03602740600036,196.03602740600036,132.94562014699932,,,,,,,,,,,,,,,,,,,,,,,,,,,,102121,2,3,0,3,0,2,0,66,2021_Oct_21_1511,recall_fmri,3.2.4,60.10760499504684,
2,,,,,,,,,0,0,0,0,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.03890236200004,None,6,0.7699725070006025,202.03890236200004,None,202.03890236200004,None,202.03890236200004,None,133.74952109399965,220.29493202199956,202.8524354350002,None,202.8524354350002,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/102121_bk2_recall_fmri_wav/recall_audio_2-1634843703.844.wav,0.012188754799353774,None,6,86.51244405200032,202.8524354350002,None,202.8524354350002,None,,,102121,2,3,0,3,0,2,0,66,2021_Oct_21_1511,recall_fmri,3.2.4,60.10760499504684,
2,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.29809976099932,289.38601551400006,None,226.29480345999946,,,,,,,,,,,,,,,,,,,,,,,,,,,,102121,2,3,0,3,0,2,0,66,2021_Oct_21_1511,recall_fmri,3.2.4,60.10760499504684,
3,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.29715427599967,295.3852129830002,295.3852129830002,232.2946894429997,,,,,,,,,,,,,,,,,,,,,,,,,,,,102121,2,3,0,3,0,2,0,66,2021_Oct_21_1511,recall_fmri,3.2.4,60.10760499504684,
4,,,,,,,,,0,0,0,0,0,4,4,4,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.3863423520006,None,6,0.566360824000185,301.3863423520006,None,301.3863423520006,None,301.3863423520006,None,232.89684872699945,301.8457479239996,302.0024322250001,None,302.0024322250001,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/102121_bk2_recall_fmri_wav/recall_audio_2-1634843802.988.wav,0.015222113800518855,None,6,68.91730067499975,302.0024322250001,None,302.0024322250001,None,,,102121,2,3,0,3,0,2,0,66,2021_Oct_21_1511,recall_fmri,3.2.4,60.10760499504684,
4,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.8500830039993,370.93631340499996,None,307.8449541330001,,,,,,,,,,,,,,,,,,,,,,,,,,,,102121,2,3,0,3,0,2,0,66,2021_Oct_21_1511,recall_fmri,3.2.4,60.10760499504684,
5,,,,,,,,,0,0,0,0,0,5,5,5,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.93661904000055,None,6,0.5112547850003466,376.93661904000055,None,376.93661904000055,None,376.93661904000055,None,308.380670171,392.27786194500004,377.48663732500063,None,377.48663732500063,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/102121_bk2_recall_fmri_wav/recall_audio_2-1634843878.477.wav,0.01006042880089808,None,6,83.86010775900013,377.48663732500063,None,377.48663732500063,None,,,102121,2,3,0,3,0,2,0,66,2021_Oct_21_1511,recall_fmri,3.2.4,60.10760499504684,
