count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_17.thisRepN,trials_17.thisTrialN,trials_17.thisN,trials_17.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block1,action_list_block1,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,text_81.started,text_81.stopped,text_82.started,text_82.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_18.started,image_18.stopped,text_69.started,text_69.stopped,recall_audio.filename,recall_audio.started,recall_audio.stopped,key_resp_25.keys,key_resp_25.rt,key_resp_25.started,key_resp_25.stopped,text_80.started,text_80.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,part,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[41 32 43 23 34 14 12 21],[3 3 1 4 1 4 2 2],14.615095940000174,None,space,96.59759676199974,14.615095940000174,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,031722,2,3,0,1,0,1,0,62,1,2022_Mar_17_1349,recall_fmri,3.2.4,60.145695248155356,
0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,111.24768352699994,None,equal,30.651174980000178,111.24768352699994,None,127.32012104800015,111.24768352699994,None,111.24768352699994,None,111.24768352699994,None,111.24768352699994,None,0.000683936999848811,141.93248421800035,None,6.000305336000565,147.94659415299975,None,2,3.764299105000646,147.94659415299975,None,147.94659415299975,None,147.94659415299975,None,9.801495708000402,80.982941235,151.82952626800034,None,151.82952626800034,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/031722_bk1_pt1_recall_fmri_wav/recall_audio-1647539492.806.wav,0.011662293400149792,None,2,71.06449033000081,151.82952626800034,None,151.82952626800034,None,,,031722,2,3,0,1,0,1,0,62,1,2022_Mar_17_1349,recall_fmri,3.2.4,60.145695248155356,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.98622292599975,222.91541820699968,None,86.9829183769998,,,,,,,,,,,,,,,,,,,,,,,,,,,,031722,2,3,0,1,0,1,0,62,1,2022_Mar_17_1349,recall_fmri,3.2.4,60.145695248155356,
1,,,,,0,0,0,0,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.91568926000036,None,2,2.7783380350001607,228.91568926000036,None,228.91568926000036,None,228.91568926000036,None,89.784314042,128.3501039570001,231.72874111700003,None,231.72874111700003,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/031722_bk1_pt1_recall_fmri_wav/recall_audio-1647539572.721.wav,0.011692281800605997,None,2,38.521331709999686,231.72874111700003,None,231.72874111700003,None,,,031722,2,3,0,1,0,1,0,62,1,2022_Mar_17_1349,recall_fmri,3.2.4,60.145695248155356,
1,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.35366127900033,270.28277830299976,None,134.35007001600025,,,,,,,,,,,,,,,,,,,,,,,,,,,,031722,2,3,0,1,0,1,0,62,1,2022_Mar_17_1349,recall_fmri,3.2.4,60.145695248155356,
2,,,,,0,0,0,0,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.2825223589998,None,2,4.430342386999655,276.2825223589998,None,276.2825223589998,None,276.2825223589998,None,138.8137043280003,206.17862852600047,280.76155647700034,None,280.76155647700034,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/031722_bk1_pt1_recall_fmri_wav/recall_audio-1647539621.748.wav,0.014669395800410712,None,2,67.31647179000083,280.76155647700034,None,280.76155647700034,None,,,031722,2,3,0,1,0,1,0,62,1,2022_Mar_17_1349,recall_fmri,3.2.4,60.145695248155356,
2,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.18277760399997,348.1103185949996,None,212.1785055119999,,,,,,,,,,,,,,,,,,,,,,,,,,,,031722,2,3,0,1,0,1,0,62,1,2022_Mar_17_1349,recall_fmri,3.2.4,60.145695248155356,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,031722,2,3,0,1,0,1,0,62,1,2022_Mar_17_1349,recall_fmri,3.2.4,60.145695248155356,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.11049031400034,None,031722,2,3,0,1,0,1,0,62,1,2022_Mar_17_1349,recall_fmri,3.2.4,60.145695248155356,
,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.6276939749996,None,031722,2,3,0,1,0,1,0,62,1,2022_Mar_17_1349,recall_fmri,3.2.4,60.145695248155356,
