count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_20.thisRepN,trials_20.thisTrialN,trials_20.thisN,trials_20.thisIndex,trials_18.thisRepN,trials_18.thisTrialN,trials_18.thisN,trials_18.thisIndex,trials_19.thisRepN,trials_19.thisTrialN,trials_19.thisN,trials_19.thisIndex,story_list_block2,action_list_block2,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,text_81.started,text_81.stopped,text_82.started,text_82.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_20.started,image_20.stopped,text_75.started,text_75.stopped,recall_audio_2.filename,recall_audio_2.started,recall_audio_2.stopped,key_resp_27.keys,key_resp_27.rt,key_resp_27.started,key_resp_27.stopped,text_79.started,text_79.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,part,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,[42 33 13 11 22 24 44 31],[3 1 4 2 2 4 1 3],11.88477894799962,None,space,1.2433081029994355,11.88477894799962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,031722,2,3,0,1,0,2,0,62,1,2022_Mar_17_1400,recall_fmri,3.2.4,59.777428429140755,
0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,13.146568569999545,None,equal,24.306825867000043,13.146568569999545,None,25.59520668099958,13.146568569999545,None,13.146568569999545,None,13.146568569999545,None,13.146568569999545,None,0.0007725720006419579,37.47952589099987,None,5.994304439000189,43.48476136499994,None,2,1.306617999000082,43.48476136499994,None,43.48476136499994,None,43.48476136499994,None,7.328203819000009,87.84828101900075,44.88554893299988,None,44.88554893299988,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/031722_bk2_pt1_recall_fmri_wav/recall_audio_2-1647540095.871.wav,0.008991615000013553,None,2,80.43170411599931,44.88554893299988,None,44.88554893299988,None,031722,2,3,0,1,0,2,0,62,1,2022_Mar_17_1400,recall_fmri,3.2.4,59.777428429140755,
﻿count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_20.thisRepN,trials_20.thisTrialN,trials_20.thisN,trials_20.thisIndex,trials_18.thisRepN,trials_18.thisTrialN,trials_18.thisN,trials_18.thisIndex,trials_19.thisRepN,trials_19.thisTrialN,trials_19.thisN,trials_19.thisIndex,story_list_block2,action_list_block2,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,text_81.started,text_81.stopped,text_82.started,text_82.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_20.started,image_20.stopped,text_75.started,text_75.stopped,recall_audio_2.filename,recall_audio_2.started,recall_audio_2.stopped,key_resp_27.keys,key_resp_27.rt,key_resp_27.started,key_resp_27.stopped,text_79.started,text_79.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,part,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,[42 33 13 11 22 24 44 31],[3 1 4 2 2 4 1 3],11.88477894799962,None,space,1.2433081029994355,11.88477894799962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,031722,2,3,0,1,0,2,0,62,1,2022_Mar_17_1400,recall_fmri,3.2.4,59.777428429140755,
0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,13.146568569999545,None,equal,24.306825867000043,13.146568569999545,None,25.59520668099958,13.146568569999545,None,13.146568569999545,None,13.146568569999545,None,13.146568569999545,None,0.0007725720006419579,37.47952589099987,None,5.994304439000189,43.48476136499994,None,2,1.306617999000082,43.48476136499994,None,43.48476136499994,None,43.48476136499994,None,7.328203819000009,87.84828101900075,44.88554893299988,None,44.88554893299988,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/031722_bk2_pt1_recall_fmri_wav/recall_audio_2-1647540095.871.wav,0.008991615000013553,None,2,80.43170411599931,44.88554893299988,None,44.88554893299988,None,031722,2,3,0,1,0,2,0,62,1,2022_Mar_17_1400,recall_fmri,3.2.4,59.777428429140755,
0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.85091329000079,125.33025763899968,None,93.84401616600007,,,,,,,,,,,,,,,,,,,,,,,,,,031722,2,3,0,1,0,2,0,62,1,2022_Mar_17_1400,recall_fmri,3.2.4,59.777428429140755,
1,,,,,,,,,0,0,0,0,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.33002594499976,None,2,1.4742290980002508,131.33002594499976,None,131.33002594499976,None,131.33002594499976,None,95.34516381000049,99.94375405700066,132.84614912599955,None,132.84614912599955,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/031722_bk2_pt1_recall_fmri_wav/recall_audio_2-1647540183.835.wav,0.012142813400714658,None,2,4.553237127000102,132.84614912599955,None,132.84614912599955,None,031722,2,3,0,1,0,2,0,62,1,2022_Mar_17_1400,recall_fmri,3.2.4,59.777428429140755,
﻿count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_20.thisRepN,trials_20.thisTrialN,trials_20.thisN,trials_20.thisIndex,trials_18.thisRepN,trials_18.thisTrialN,trials_18.thisN,trials_18.thisIndex,trials_19.thisRepN,trials_19.thisTrialN,trials_19.thisN,trials_19.thisIndex,story_list_block2,action_list_block2,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,text_81.started,text_81.stopped,text_82.started,text_82.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_20.started,image_20.stopped,text_75.started,text_75.stopped,recall_audio_2.filename,recall_audio_2.started,recall_audio_2.stopped,key_resp_27.keys,key_resp_27.rt,key_resp_27.started,key_resp_27.stopped,text_79.started,text_79.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,part,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,[42 33 13 11 22 24 44 31],[3 1 4 2 2 4 1 3],11.88477894799962,None,space,1.2433081029994355,11.88477894799962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,031722,2,3,0,1,0,2,0,62,1,2022_Mar_17_1400,recall_fmri,3.2.4,59.777428429140755,
