count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_17.thisRepN,trials_17.thisTrialN,trials_17.thisN,trials_17.thisIndex,story_list_block1,action_list_block1,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_18.started,image_18.stopped,text_69.started,text_69.stopped,recall_audio.filename,recall_audio.started,recall_audio.stopped,key_resp_25.keys,key_resp_25.rt,key_resp_25.started,key_resp_25.stopped,text_80.started,text_80.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,[13 24 22 44 11 42 31 33],[1 2 2 2 1 2 1 1],20.078429051000057,None,space,46.38110988100016,20.078429051000057,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,091621,0,2,1,3,1,1,0,22,2021_Sep_16_1447,recall_fmri,3.2.4,60.293893903295945,
0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,66.47935428500023,None,equal,27.81865634299902,66.47935428500023,None,74.24351879300048,66.47935428500023,None,66.47935428500023,None,0.0003179929990437813,94.33009505299924,None,6.016084733999378,100.34481008299917,None,2,1.8501543439997477,100.34481008299917,None,100.34481008299917,None,100.34481008299917,None,7.884121152999796,96.51605055899927,102.29349328900025,None,102.29349328900025,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/091621_bk1_recall_fmri_wav/recall_audio-1631818157.270.wav,0.01008599799752119,None,2,88.52455314899998,102.29349328900025,None,102.29349328900025,None,091621,0,2,1,3,1,1,0,22,2021_Sep_16_1447,recall_fmri,3.2.4,60.293893903295945,
﻿count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_17.thisRepN,trials_17.thisTrialN,trials_17.thisN,trials_17.thisIndex,story_list_block1,action_list_block1,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_18.started,image_18.stopped,text_69.started,text_69.stopped,recall_audio.filename,recall_audio.started,recall_audio.stopped,key_resp_25.keys,key_resp_25.rt,key_resp_25.started,key_resp_25.stopped,text_80.started,text_80.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,[13 24 22 44 11 42 31 33],[1 2 2 2 1 2 1 1],20.078429051000057,None,space,46.38110988100016,20.078429051000057,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,091621,0,2,1,3,1,1,0,22,2021_Sep_16_1447,recall_fmri,3.2.4,60.293893903295945,
0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,66.47935428500023,None,equal,27.81865634299902,66.47935428500023,None,74.24351879300048,66.47935428500023,None,66.47935428500023,None,0.0003179929990437813,94.33009505299924,None,6.016084733999378,100.34481008299917,None,2,1.8501543439997477,100.34481008299917,None,100.34481008299917,None,100.34481008299917,None,7.884121152999796,96.51605055899927,102.29349328900025,None,102.29349328900025,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/091621_bk1_recall_fmri_wav/recall_audio-1631818157.270.wav,0.01008599799752119,None,2,88.52455314899998,102.29349328900025,None,102.29349328900025,None,091621,0,2,1,3,1,1,0,22,2021_Sep_16_1447,recall_fmri,3.2.4,60.293893903295945,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.51895454300029,190.8462258749987,None,102.51624389099925,,,,,,,,,,,,,,,,,,,,,,,,,,091621,0,2,1,3,1,1,0,22,2021_Sep_16_1447,recall_fmri,3.2.4,60.293893903295945,
1,,,,,0,0,0,0,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,196.84626615199886,None,2,1.9478322169998137,196.84626615199886,None,196.84626615199886,None,196.84626615199886,None,104.48381239599985,208.91095124499952,198.8258276059987,None,198.8258276059987,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/091621_bk1_recall_fmri_wav/recall_audio-1631818254.813.wav,0.01616304640083399,None,2,104.3892920319995,198.8258276059987,None,198.8258276059987,None,091621,0,2,1,3,1,1,0,22,2021_Sep_16_1447,recall_fmri,3.2.4,60.293893903295945,
﻿count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_17.thisRepN,trials_17.thisTrialN,trials_17.thisN,trials_17.thisIndex,story_list_block1,action_list_block1,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_18.started,image_18.stopped,text_69.started,text_69.stopped,recall_audio.filename,recall_audio.started,recall_audio.stopped,key_resp_25.keys,key_resp_25.rt,key_resp_25.started,key_resp_25.stopped,text_80.started,text_80.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,[13 24 22 44 11 42 31 33],[1 2 2 2 1 2 1 1],20.078429051000057,None,space,46.38110988100016,20.078429051000057,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,091621,0,2,1,3,1,1,0,22,2021_Sep_16_1447,recall_fmri,3.2.4,60.293893903295945,
