count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_17.thisRepN,trials_17.thisTrialN,trials_17.thisN,trials_17.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block1,action_list_block1,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,text_81.started,text_81.stopped,text_82.started,text_82.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_18.started,image_18.stopped,text_69.started,text_69.stopped,recall_audio.filename,recall_audio.started,recall_audio.stopped,key_resp_25.keys,key_resp_25.rt,key_resp_25.started,key_resp_25.stopped,text_80.started,text_80.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,part,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[32 43 23 41 14 12 21 34],[4 3 2 1 3 1 4 2],22.10594025300088,None,space,1.0777205719996346,22.10594025300088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040122,0,3,2,3,0,1,0,36,2,2022_Apr_01_1211,recall_fmri,3.2.4,59.85670078367875,
3,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,23.205165201000455,None,equal,98.8948464060004,23.205165201000455,None,100.02101865399982,23.205165201000455,None,23.205165201000455,None,23.205165201000455,None,23.205165201000455,None,0.0006426379995900788,122.12151175800045,None,5.99945910400038,128.13873169400085,None,1,1.0732827679994443,128.13873169400085,None,128.13873169400085,None,128.13873169400085,None,7.117130122000162,157.13341744300033,129.3211734790002,None,129.3211734790002,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/040122_bk1_pt2_recall_fmri_wav/recall_audio-1648829593.308.wav,0.014062181400731788,None,1,149.91788495899982,129.3211734790002,None,129.3211734790002,None,,,040122,0,3,2,3,0,1,0,36,2,2022_Apr_01_1211,recall_fmri,3.2.4,59.85670078367875,
3,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.13663588100007,279.25637661700057,None,163.13337760800005,,,,,,,,,,,,,,,,,,,,,,,,,,,,040122,0,3,2,3,0,1,0,36,2,2022_Apr_01_1211,recall_fmri,3.2.4,59.85670078367875,
4,,,,,0,0,0,0,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.25639662700087,None,1,1.0066300199996476,285.25639662700087,None,285.25639662700087,None,285.25639662700087,None,164.1686451509995,254.26640375900024,286.3026029290004,None,286.3026029290004,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/040122_bk1_pt2_recall_fmri_wav/recall_audio-1648829750.293.wav,0.013482647799719416,None,1,90.06833569299943,286.3026029290004,None,286.3026029290004,None,,,040122,0,3,2,3,0,1,0,36,2,2022_Apr_01_1211,recall_fmri,3.2.4,59.85670078367875,
4,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.2697750440002,376.3895822880004,None,260.2670139080001,,,,,,,,,,,,,,,,,,,,,,,,,,,,040122,0,3,2,3,0,1,0,36,2,2022_Apr_01_1211,recall_fmri,3.2.4,59.85670078367875,
5,,,,,0,0,0,0,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.3892479570004,None,1,0.8127643500001795,382.3892479570004,None,382.3892479570004,None,382.3892479570004,None,261.1016993160001,411.0437710289998,383.235827038,None,383.235827038,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/040122_bk1_pt2_recall_fmri_wav/recall_audio-1648829847.226.wav,0.013790898799925344,None,1,149.88805214100012,383.235827038,None,383.235827038,None,,,040122,0,3,2,3,0,1,0,36,2,2022_Apr_01_1211,recall_fmri,3.2.4,59.85670078367875,
5,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.047694545,533.1657519120008,None,417.06066749799993,,,,,,,,,,,,,,,,,,,,,,,,,,,,040122,0,3,2,3,0,1,0,36,2,2022_Apr_01_1211,recall_fmri,3.2.4,59.85670078367875,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040122,0,3,2,3,0,1,0,36,2,2022_Apr_01_1211,recall_fmri,3.2.4,59.85670078367875,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.1734356710003,None,040122,0,3,2,3,0,1,0,36,2,2022_Apr_01_1211,recall_fmri,3.2.4,59.85670078367875,
,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.6736056380005,None,040122,0,3,2,3,0,1,0,36,2,2022_Apr_01_1211,recall_fmri,3.2.4,59.85670078367875,
