count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_20.thisRepN,trials_20.thisTrialN,trials_20.thisN,trials_20.thisIndex,trials_18.thisRepN,trials_18.thisTrialN,trials_18.thisN,trials_18.thisIndex,trials_19.thisRepN,trials_19.thisTrialN,trials_19.thisN,trials_19.thisIndex,story_list_block2,action_list_block2,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_20.started,image_20.stopped,text_75.started,text_75.stopped,recall_audio_2.filename,recall_audio_2.started,recall_audio_2.stopped,key_resp_27.keys,key_resp_27.rt,key_resp_27.started,key_resp_27.stopped,text_79.started,text_79.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,[22 42 31 33 44 24 11 13],[3 2 4 4 2 3 1 1],11.81138777399970,None,space,4.61867923599948,11.81138777399970,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11721,0,1,1,3,0,2,0,10,2021_Jan_17_1537,recall_fmri,3.2.4,60.11056954557260,
0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,16.461767798000400,None,equal,33.92890784799970,16.461767798000400,None,38.619024793999400,16.461767798000400,None,16.461767798000400,None,6.013083528000610,56.43407917600050,None,12.004835890999900,,,,,,,,,,,,,,,,,,,,,,,,,,11721,0,1,1,3,0,2,0,10,2021_Jan_17_1537,recall_fmri,3.2.4,60.11056954557260,
1,,,,,,,,,0,0,0,0,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,62.43405850799990,None,1,1.528454905000220,62.43405850799990,None,62.43405850799990,None,62.43405850799990,None,13.567082190000300,215.29604127900000,64.084159516,None,64.084159516,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/011721_bk2_recall_fmri_wav/recall_audio_2-1610915912.070.wav,0.00829294960021798,None,space,201.6084341379990,64.084159516,None,64.084159516,None,11721,0,1,1,3,0,2,0,10,2021_Jan_17_1537,recall_fmri,3.2.4,60.11056954557260,
1,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.29950842700100,265.7249127520000,None,221.296054206,,,,,,,,,,,,,,,,,,,,,,,,,,11721,0,1,1,3,0,2,0,10,2021_Jan_17_1537,recall_fmri,3.2.4,60.11056954557260,
2,,,,,,,,,0,0,0,0,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,271.7243217970000,None,space,1.3863945399998600,271.7243217970000,None,271.7243217970000,None,271.7243217970000,None,222.70610989300000,376.9888729680010,273.1501945910000,None,273.1501945910000,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/011721_bk2_recall_fmri_wav/recall_audio_2-1610916121.138.wav,0.012428393199115800,None,space,154.242354944,273.1501945910000,None,273.1501945910000,None,11721,0,1,1,3,0,2,0,10,2021_Jan_17_1537,recall_fmri,3.2.4,60.11056954557260,
2,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.99220018400000,427.4171301360000,None,382.98881087600100,,,,,,,,,,,,,,,,,,,,,,,,,,11721,0,1,1,3,0,2,0,10,2021_Jan_17_1537,recall_fmri,3.2.4,60.11056954557260,
3,,,,,,,,,0,0,0,0,0,3,3,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,433.41766246300000,None,space,2.796657722999950,433.41766246300000,None,433.41766246300000,None,433.41766246300000,None,385.8067800280010,566.9718599590010,436.250840056,None,436.250840056,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/011721_bk2_recall_fmri_wav/recall_audio_2-1610916284.240.wav,0.011296835199573300,None,space,181.13158566400000,436.250840056,None,436.250840056,None,11721,0,1,1,3,0,2,0,10,2021_Jan_17_1537,recall_fmri,3.2.4,60.11056954557260,
3,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.9753463340000,617.400259133,None,572.9718922970010,,,,,,,,,,,,,,,,,,,,,,,,,,11721,0,1,1,3,0,2,0,10,2021_Jan_17_1537,recall_fmri,3.2.4,60.11056954557260,
4,,,,,,,,,0,0,0,0,0,4,4,4,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,623.4008762070000,None,space,1.3308216519999400,623.4008762070000,None,623.4008762070000,None,623.4008762070000,None,574.3221903900000,730.4225052910010,624.7671335250000,None,624.7671335250000,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/011721_bk2_recall_fmri_wav/recall_audio_2-1610916473.749.wav,0.0009306246001870020,None,space,156.05620909999900,624.7671335250000,None,624.7671335250000,None,11721,0,1,1,3,0,2,0,10,2021_Jan_17_1537,recall_fmri,3.2.4,60.11056954557260,
4,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,730.4264476950000,780.85045868,None,736.421627187,,,,,,,,,,,,,,,,,,,,,,,,,,11721,0,1,1,3,0,2,0,10,2021_Jan_17_1537,recall_fmri,3.2.4,60.11056954557260,
