count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_20.thisRepN,trials_20.thisTrialN,trials_20.thisN,trials_20.thisIndex,trials_18.thisRepN,trials_18.thisTrialN,trials_18.thisN,trials_18.thisIndex,trials_19.thisRepN,trials_19.thisTrialN,trials_19.thisN,trials_19.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block2,action_list_block2,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,text_81.started,text_81.stopped,text_82.started,text_82.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_20.started,image_20.stopped,text_75.started,text_75.stopped,recall_audio_2.filename,recall_audio_2.started,recall_audio_2.stopped,key_resp_27.keys,key_resp_27.rt,key_resp_27.started,key_resp_27.stopped,text_79.started,text_79.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,part,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[33 13 23 44 24 43 34 14],[2 2 3 1 1 3 4 4],13.035726747000808,None,space,4.301679690999663,13.035726747000808,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,030422,1,3,0,2,3,2,0,52,2,2022_Mar_04_1307,recall_fmri,3.2.4,59.91318352049168,
3,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,17.368822775000808,None,equal,18.755644001999826,17.368822775000808,None,23.124791449999975,17.368822775000808,None,17.368822775000808,None,17.368822775000808,None,17.368822775000808,None,0.0006919240004208405,36.15235683299943,None,5.993813114999284,42.15921907899974,None,1,1.1672991209998145,42.15921907899974,None,42.15921907899974,None,42.15921907899974,None,7.194267159999072,156.46068111800014,43.43601953799953,None,43.43601953799953,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/030422_bk2_pt2_recall_fmri_wav/recall_audio_2-1646417274.423.wav,0.012541681800939841,None,1,149.15356567300114,43.43601953799953,None,43.43601953799953,None,,,030422,1,3,0,2,3,2,0,52,2,2022_Mar_04_1307,recall_fmri,3.2.4,59.91318352049168,
3,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.4640728049999,192.61956504199952,None,162.46079610299967,,,,,,,,,,,,,,,,,,,,,,,,,,,,030422,1,3,0,2,3,2,0,52,2,2022_Mar_04_1307,recall_fmri,3.2.4,59.91318352049168,
4,,,,,,,,,0,0,0,0,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.62350222399982,None,1,1.2551003370008402,198.62350222399982,None,198.62350222399982,None,198.62350222399982,None,163.74429054999928,271.99415973100076,199.920168269,None,199.920168269,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/030422_bk2_pt2_recall_fmri_wav/recall_audio_2-1646417431.902.wav,0.0005428137992566917,None,1,108.21248989000014,199.920168269,None,199.920168269,None,,,030422,1,3,0,2,3,2,0,52,2,2022_Mar_04_1307,recall_fmri,3.2.4,59.91318352049168,
4,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.9969774220008,308.15250479899987,None,277.9941953460002,,,,,,,,,,,,,,,,,,,,,,,,,,,,030422,1,3,0,2,3,2,0,52,2,2022_Mar_04_1307,recall_fmri,3.2.4,59.91318352049168,
5,,,,,,,,,0,0,0,0,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.15343073700024,None,1,0.9700250109999615,314.15343073700024,None,314.15343073700024,None,314.15343073700024,None,278.9954574050007,374.26058876800016,315.1695335679997,None,315.1695335679997,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/030422_bk2_pt2_recall_fmri_wav/recall_audio_2-1646417546.153.wav,0.0009518467995803803,None,1,95.22005002100013,315.1695335679997,None,315.1695335679997,None,,,030422,1,3,0,2,3,2,0,52,2,2022_Mar_04_1307,recall_fmri,3.2.4,59.91318352049168,
5,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.2638696739996,410.41963727800066,None,380.2602750919996,,,,,,,,,,,,,,,,,,,,,,,,,,,,030422,1,3,0,2,3,2,0,52,2,2022_Mar_04_1307,recall_fmri,3.2.4,59.91318352049168,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,030422,1,3,0,2,3,2,0,52,2,2022_Mar_04_1307,recall_fmri,3.2.4,59.91318352049168,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.42066999000053,None,030422,1,3,0,2,3,2,0,52,2,2022_Mar_04_1307,recall_fmri,3.2.4,59.91318352049168,
,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.9196523520004,416.9196523520004,030422,1,3,0,2,3,2,0,52,2,2022_Mar_04_1307,recall_fmri,3.2.4,59.91318352049168,
,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.41966804500044,417.41966804500044,030422,1,3,0,2,3,2,0,52,2,2022_Mar_04_1307,recall_fmri,3.2.4,59.91318352049168,
,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.9196309630006,417.9196309630006,030422,1,3,0,2,3,2,0,52,2,2022_Mar_04_1307,recall_fmri,3.2.4,59.91318352049168,
,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.41969752099976,418.41969752099976,030422,1,3,0,2,3,2,0,52,2,2022_Mar_04_1307,recall_fmri,3.2.4,59.91318352049168,
