count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_17.thisRepN,trials_17.thisTrialN,trials_17.thisN,trials_17.thisIndex,story_list_block1,action_list_block1,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_18.started,image_18.stopped,text_69.started,text_69.stopped,recall_audio.filename,recall_audio.started,recall_audio.stopped,key_resp_25.keys,key_resp_25.rt,key_resp_25.started,key_resp_25.stopped,text_80.started,text_80.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,[33 22 11 44 42 13 24 31],[3 3 4 4 2 2 1 1],11.363162126000100,None,space,71.86049900499980,11.363162126000100,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31321,1,2,1,2,1,1,0,44,2021_Mar_13_1508,recall_fmri,3.2.4,60.09689061098610,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,83.2459108640005,None,equal,22.985498987000000,83.2459108640005,None,94.89570880800060,83.2459108640005,None,83.2459108640005,None,6.00798585099983,112.26367905800000,112.26367905800000,11.999421818999500,,,,,,,,,,,,,,,,,,,,,,,,,,31321,1,2,1,2,1,1,0,44,2021_Mar_13_1508,recall_fmri,3.2.4,60.09689061098610,
1,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.002455128999800,118.26331614400000,118.26331614400000,17.99968469199940,,,,,,,,,,,,,,,,,,,,,,,,,,31321,1,2,1,2,1,1,0,44,2021_Mar_13_1508,recall_fmri,3.2.4,60.09689061098610,
2,,,,,0,0,0,0,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,124.26370209800000,None,2,2.416695099000210,124.26370209800000,None,124.26370209800000,None,124.26370209800000,None,20.450961663999800,164.36625208900000,126.79727665500000,None,126.79727665500000,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/031321_bk1_recall_fmri_wav/recall_audio-1615666257.786.wav,0.012452549999579800,None,2,143.80211259100000,126.79727665500000,None,126.79727665500000,None,31321,1,2,1,2,1,1,0,44,2021_Mar_13_1508,recall_fmri,3.2.4,60.09689061098610,
2,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.3693868700000,270.6302633430010,None,170.36625968500000,,,,,,,,,,,,,,,,,,,,,,,,,,31321,1,2,1,2,1,1,0,44,2021_Mar_13_1508,recall_fmri,3.2.4,60.09689061098610,
3,,,,,0,0,0,0,0,3,3,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,276.6303637990000,None,2,1.9101629659999200,276.6303637990000,None,276.6303637990000,None,276.6303637990000,None,172.301121943,321.0167906030000,278.58022291700000,None,278.58022291700000,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/031321_bk1_recall_fmri_wav/recall_audio-1615666409.569.wav,0.012235223000061500,None,2,148.66923563600100,278.58022291700000,None,278.58022291700000,None,31321,1,2,1,2,1,1,0,44,2021_Mar_13_1508,recall_fmri,3.2.4,60.09689061098610,
3,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.02093750100000,427.2799378810010,None,327.01693873900000,,,,,,,,,,,,,,,,,,,,,,,,,,31321,1,2,1,2,1,1,0,44,2021_Mar_13_1508,recall_fmri,3.2.4,60.09689061098610,
4,,,,,0,0,0,0,0,4,4,4,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,433.28073565900000,None,2,2.6438013759998300,433.28073565900000,None,433.28073565900000,None,433.28073565900000,None,329.68481529200000,396.5833688920000,435.9610746770000,None,435.9610746770000,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/031321_bk1_recall_fmri_wav/recall_audio-1615666566.952.wav,0.01254680100009860,None,2,66.86050447300020,435.9610746770000,None,435.9610746770000,None,31321,1,2,1,2,1,1,0,44,2021_Mar_13_1508,recall_fmri,3.2.4,60.09689061098610,
4,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.58719913000000,502.8477741810000,None,402.5830657820000,,,,,,,,,,,,,,,,,,,,,,,,,,31321,1,2,1,2,1,1,0,44,2021_Mar_13_1508,recall_fmri,3.2.4,60.09689061098610,
5,,,,,0,0,0,0,0,5,5,5,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,508.8480824950000,None,2,2.3013098789997500,508.8480824950000,None,508.8480824950000,None,508.8480824950000,None,404.91807593200000,559.6677846580000,511.1942885790000,None,511.1942885790000,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/031321_bk1_recall_fmri_wav/recall_audio-1615666641.185.wav,0.013695985999220300,None,2,154.71624194500000,511.1942885790000,None,511.1942885790000,None,31321,1,2,1,2,1,1,0,44,2021_Mar_13_1508,recall_fmri,3.2.4,60.09689061098610,
