count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_17.thisRepN,trials_17.thisTrialN,trials_17.thisN,trials_17.thisIndex,story_list_block1,action_list_block1,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_18.started,image_18.stopped,text_69.started,text_69.stopped,recall_audio.filename,recall_audio.started,recall_audio.stopped,key_resp_25.keys,key_resp_25.rt,key_resp_25.started,key_resp_25.stopped,text_80.started,text_80.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,[23 12 32 34 43 41 21 14],[4 3 2 2 1 1 4 3],8.699991278999730,None,space,48.842283391999400,8.699991278999730,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111221,0,3,1,3,0,1,0,34,2021_Nov_12_1528,recall_fmri,3.2.4,60.247787824471800,
0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,57.56947020299960,None,equal,20.968158316999500,57.56947020299960,None,69.86473874900000,57.56947020299960,None,57.56947020299960,None,0.00042351499996584600,78.56703323199960,None,5.999303044000040,84.56866109099970,None,1,1.7029311480000600,84.56866109099970,None,84.56866109099970,None,84.56866109099970,None,7.7330198399995400,59.29913015399960,86.38421036699950,None,86.38421036699950,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/111221_bk1_recall_fmri_wav/recall_audio-1636748990.360.wav,0.007183944499956850,None,1,51.4593445620003,86.38421036699950,None,86.38421036699950,None,111221,0,3,1,3,0,1,0,34,2021_Nov_12_1528,recall_fmri,3.2.4,60.247787824471800,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.30242828900010,137.8668692429990,None,65.29897081699980,,,,,,,,,,,,,,,,,,,,,,,,,,111221,0,3,1,3,0,1,0,34,2021_Nov_12_1528,recall_fmri,3.2.4,60.247787824471800,
1,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.3014186119999,143.86692253400000,143.86692253400000,71.29932764099980,,,,,,,,,,,,,,,,,,,,,,,,,,111221,0,3,1,3,0,1,0,34,2021_Nov_12_1528,recall_fmri,3.2.4,60.247787824471800,
2,,,,,0,0,0,0,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,149.8681291110000,None,1,1.8195030520000700,149.8681291110000,None,149.8681291110000,None,149.8681291110000,None,73.14957106600010,190.24871172500000,151.73427420200000,None,151.73427420200000,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/111221_bk1_recall_fmri_wav/recall_audio-1636749056.718.wav,0.01548165639906070,None,1,117.0651973239990,151.73427420200000,None,151.73427420200000,None,111221,0,3,1,3,0,1,0,34,2021_Nov_12_1528,recall_fmri,3.2.4,60.247787824471800,
2,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.2520967120000,268.8166515139990,None,196.24811607300000,,,,,,,,,,,,,,,,,,,,,,,,,,111221,0,3,1,3,0,1,0,34,2021_Nov_12_1528,recall_fmri,3.2.4,60.247787824471800,
3,,,,,0,0,0,0,0,3,3,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,274.88332262199900,None,1,0.8851593580002370,274.88332262199900,None,274.88332262199900,None,274.88332262199900,None,197.23277742200000,299.1825027590000,275.8168622660000,None,275.8168622660000,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/111221_bk1_recall_fmri_wav/recall_audio-1636749180.800.wav,0.0004311637003411310,None,1,101.90475361800100,275.8168622660000,None,275.8168622660000,None,111221,0,3,1,3,0,1,0,34,2021_Nov_12_1528,recall_fmri,3.2.4,60.247787824471800,
3,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.18672591700000,377.7507449450000,None,305.1830035110000,,,,,,,,,,,,,,,,,,,,,,,,,,111221,0,3,1,3,0,1,0,34,2021_Nov_12_1528,recall_fmri,3.2.4,60.247787824471800,
4,,,,,0,0,0,0,0,4,4,4,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,383.7516460930000,None,1,0.9379772000002050,383.7516460930000,None,383.7516460930000,None,383.7516460930000,None,306.1505424680000,391.0996924200000,384.732072885,None,384.732072885,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/111221_bk1_recall_fmri_wav/recall_audio-1636749289.722.wav,0.012395510399983300,None,1,84.90441466999980,384.732072885,None,384.732072885,None,111221,0,3,1,3,0,1,0,34,2021_Nov_12_1528,recall_fmri,3.2.4,60.247787824471800,
4,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.10310512900000,469.66721279800000,None,397.0989927820000,,,,,,,,,,,,,,,,,,,,,,,,,,111221,0,3,1,3,0,1,0,34,2021_Nov_12_1528,recall_fmri,3.2.4,60.247787824471800,
5,,,,,0,0,0,0,0,5,5,5,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,475.66753969600000,None,1,0.6490608079993760,475.66753969600000,None,475.66753969600000,None,475.66753969600000,None,397.7669013630000,400.88288263400000,476.34690917400000,None,476.34690917400000,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/111221_bk1_recall_fmri_wav/recall_audio-1636749380.336.wav,0.015522769399467500,None,1,3.086589142999400,476.34690917400000,None,476.34690917400000,None,111221,0,3,1,3,0,1,0,34,2021_Nov_12_1528,recall_fmri,3.2.4,60.247787824471800,
