count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_20.thisRepN,trials_20.thisTrialN,trials_20.thisN,trials_20.thisIndex,trials_18.thisRepN,trials_18.thisTrialN,trials_18.thisN,trials_18.thisIndex,trials_19.thisRepN,trials_19.thisTrialN,trials_19.thisN,trials_19.thisIndex,story_list_block2,action_list_block2,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_20.started,image_20.stopped,text_75.started,text_75.stopped,recall_audio_2.filename,recall_audio_2.started,recall_audio_2.stopped,key_resp_27.keys,key_resp_27.rt,key_resp_27.started,key_resp_27.stopped,text_79.started,text_79.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,[32 14 23 41 34 43 12 21],[4 3 4 3 2 1 1 2],10.606874164000100,None,space,0.4615398500000080,10.606874164000100,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110821,0,3,0,3,1,2,0,30,2021_Nov_08_1234,recall_fmri,3.2.4,59.90234456219770,
0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,11.096639100000200,None,equal,26.591413027999800,11.096639100000200,None,27.09644346999990,11.096639100000200,None,11.096639100000200,None,0.0005267639999146920,37.70715820799980,None,5.999331957000320,43.713832579000200,None,2,4.866191677000640,43.713832579000200,None,43.713832579000200,None,43.713832579000200,None,10.890046139000300,81.32219628799980,48.69057353199970,None,48.69057353199970,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/110821_bk2_recall_fmri_wav/recall_audio_2-1636392932.672.wav,0.00835295739943831,None,2,70.31546939800050,48.69057353199970,None,48.69057353199970,None,110821,0,3,0,3,1,2,0,30,2021_Nov_08_1234,recall_fmri,3.2.4,59.90234456219770,
0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.32585290600040,119.03064324000000,None,87.32271685100020,,,,,,,,,,,,,,,,,,,,,,,,,,110821,0,3,0,3,1,2,0,30,2021_Nov_08_1234,recall_fmri,3.2.4,59.90234456219770,
1,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.32518191700000,125.03097461300000,125.03097461300000,93.32264948899960,,,,,,,,,,,,,,,,,,,,,,,,,,110821,0,3,0,3,1,2,0,30,2021_Nov_08_1234,recall_fmri,3.2.4,59.90234456219770,
2,,,,,,,,,0,0,0,0,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,131.03052060000000,None,2,1.6724059489997700,131.03052060000000,None,131.03052060000000,None,131.03052060000000,None,95.01577428600010,238.073175257,132.73960262500000,None,132.73960262500000,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/110821_bk2_recall_fmri_wav/recall_audio_2-1636393016.729.wav,0.010513531799915700,None,2,143.0234140600010,132.73960262500000,None,132.73960262500000,None,110821,0,3,0,3,1,2,0,30,2021_Nov_08_1234,recall_fmri,3.2.4,59.90234456219770,
2,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.0768455030000,275.78794339200000,None,244.08892636100000,,,,,,,,,,,,,,,,,,,,,,,,,,110821,0,3,0,3,1,2,0,30,2021_Nov_08_1234,recall_fmri,3.2.4,59.90234456219770,
3,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.09172445000000,281.79749947600000,None,250.0954098940000,,,,,,,,,,,,,,,,,,,,,,,,,,110821,0,3,0,3,1,2,0,30,2021_Nov_08_1234,recall_fmri,3.2.4,59.90234456219770,
4,,,,,,,,,0,0,0,0,0,4,4,4,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,287.7972246520000,None,2,0.9468233130000950,287.7972246520000,None,287.7972246520000,None,287.7972246520000,None,251.06376946900000,415.5063305850000,288.78785337800000,None,288.78785337800000,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/110821_bk2_recall_fmri_wav/recall_audio_2-1636393172.777.wav,0.010391189800429900,None,2,164.40604723400000,288.78785337800000,None,288.78785337800000,None,110821,0,3,0,3,1,2,0,30,2021_Nov_08_1234,recall_fmri,3.2.4,59.90234456219770,
4,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.5101429440000,453.21801000699900,None,421.52725990400000,,,,,,,,,,,,,,,,,,,,,,,,,,110821,0,3,0,3,1,2,0,30,2021_Nov_08_1234,recall_fmri,3.2.4,59.90234456219770,
5,,,,,,,,,0,0,0,0,0,5,5,5,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,459.2310552779990,None,6,1.203975468999490,459.2310552779990,None,459.2310552779990,None,459.2310552779990,None,422.7570897980000,550.9728773140000,460.4814190470000,None,460.4814190470000,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/110821_bk2_recall_fmri_wav/recall_audio_2-1636393344.469.wav,0.011666056798276300,None,1,128.16843187500100,460.4814190470000,None,460.4814190470000,None,110821,0,3,0,3,1,2,0,30,2021_Nov_08_1234,recall_fmri,3.2.4,59.90234456219770,
