count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_20.thisRepN,trials_20.thisTrialN,trials_20.thisN,trials_20.thisIndex,trials_18.thisRepN,trials_18.thisTrialN,trials_18.thisN,trials_18.thisIndex,trials_19.thisRepN,trials_19.thisTrialN,trials_19.thisN,trials_19.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block2,action_list_block2,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,text_81.started,text_81.stopped,text_82.started,text_82.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_20.started,image_20.stopped,text_75.started,text_75.stopped,recall_audio_2.filename,recall_audio_2.started,recall_audio_2.stopped,key_resp_27.keys,key_resp_27.rt,key_resp_27.started,key_resp_27.stopped,text_79.started,text_79.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,part,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[21 32 23 43 12 34 14 41],[3 2 1 1 2 4 4 3],13.454974598999797,None,space,2.008002212000065,13.454974598999797,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022222,1,3,0,1,1,2,0,50,2,2022_Feb_22_1105,recall_fmri,3.2.4,59.84490665774014,
3,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,15.488481716000024,None,equal,25.40303844600021,15.488481716000024,None,27.45803983800033,15.488481716000024,None,15.488481716000024,None,15.488481716000024,None,15.488481716000024,None,0.0005896259999644826,40.92214916699959,None,6.01142412199988,46.92616972699943,None,2,1.1522544280005604,46.92616972699943,None,46.92616972699943,None,46.92616972699943,None,7.201818660999379,44.226828563999334,48.188082734999625,None,48.188082734999625,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/022222_bk2_pt2_recall_fmri_wav/recall_audio_2-1645545986.169.wav,0.008962080500168668,None,3,36.90946775000066,48.188082734999625,None,48.188082734999625,None,,,022222,1,3,0,1,1,2,0,50,2,2022_Feb_22_1105,recall_fmri,3.2.4,59.84490665774014,
3,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.23197444200014,85.13831287499943,None,50.23302548599986,,,,,,,,,,,,,,,,,,,,,,,,,,,,022222,1,3,0,1,1,2,0,50,2,2022_Feb_22_1105,recall_fmri,3.2.4,59.84490665774014,
4,,,,,,,,,0,0,0,0,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.14420480199988,None,3,0.6373502890000964,91.14420480199988,None,91.14420480199988,None,91.14420480199988,None,50.8955337540001,147.53393030299958,91.82045646299957,None,91.82045646299957,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/022222_bk2_pt2_recall_fmri_wav/recall_audio_2-1645546030.812.wav,0.009749589599778119,None,2,96.60411939300047,91.82045646299957,None,91.82045646299957,None,,,022222,1,3,0,1,1,2,0,50,2,2022_Feb_22_1105,recall_fmri,3.2.4,59.84490665774014,
4,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.53727395299939,188.4443353759998,None,153.54259261900006,,,,,,,,,,,,,,,,,,,,,,,,,,,,022222,1,3,0,1,1,2,0,50,2,2022_Feb_22_1105,recall_fmri,3.2.4,59.84490665774014,
5,,,,,,,,,0,0,0,0,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.4533601969997,None,2,0.8292268600007446,194.4533601969997,None,194.4533601969997,None,194.4533601969997,None,154.39428961499925,179.9676592779997,195.32022139899982,None,195.32022139899982,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/022222_bk2_pt2_recall_fmri_wav/recall_audio_2-1645546133.309.wav,0.011293060600110039,None,2,25.527344928000275,195.32022139899982,None,195.32022139899982,None,,,022222,1,3,0,1,1,2,0,50,2,2022_Feb_22_1105,recall_fmri,3.2.4,59.84490665774014,
5,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.97121520099972,220.8771486179994,None,185.97574433999944,,,,,,,,,,,,,,,,,,,,,,,,,,,,022222,1,3,0,1,1,2,0,50,2,2022_Feb_22_1105,recall_fmri,3.2.4,59.84490665774014,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022222,1,3,0,1,1,2,0,50,2,2022_Feb_22_1105,recall_fmri,3.2.4,59.84490665774014,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.88631387199985,None,022222,1,3,0,1,1,2,0,50,2,2022_Feb_22_1105,recall_fmri,3.2.4,59.84490665774014,
,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.39370912999948,None,022222,1,3,0,1,1,2,0,50,2,2022_Feb_22_1105,recall_fmri,3.2.4,59.84490665774014,
,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.90237153499947,None,022222,1,3,0,1,1,2,0,50,2,2022_Feb_22_1105,recall_fmri,3.2.4,59.84490665774014,
,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.37729747399953,None,022222,1,3,0,1,1,2,0,50,2,2022_Feb_22_1105,recall_fmri,3.2.4,59.84490665774014,
