count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_20.thisRepN,trials_20.thisTrialN,trials_20.thisN,trials_20.thisIndex,trials_18.thisRepN,trials_18.thisTrialN,trials_18.thisN,trials_18.thisIndex,trials_19.thisRepN,trials_19.thisTrialN,trials_19.thisN,trials_19.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block2,action_list_block2,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,text_81.started,text_81.stopped,text_82.started,text_82.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_20.started,image_20.stopped,text_75.started,text_75.stopped,recall_audio_2.filename,recall_audio_2.started,recall_audio_2.stopped,key_resp_27.keys,key_resp_27.rt,key_resp_27.started,key_resp_27.stopped,text_79.started,text_79.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,part,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[13 23 44 43 24 34 33 14],[4 1 3 1 3 2 4 2],17.925678229999903,None,space,0.46641493100105436,17.925678229999903,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022122,1,3,1,3,3,2,0,58,2,2022_Feb_21_1321,recall_fmri,3.2.4,59.819348081445774,
3,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,18.408799566001107,None,equal,45.75997061700036,18.408799566001107,None,46.275587526999516,18.408799566001107,None,18.408799566001107,None,18.408799566001107,None,18.408799566001107,None,0.0008084350010904018,64.20228638499975,None,6.005888841000342,70.20942539600037,None,1,1.0263303739993717,70.20942539600037,None,70.20942539600037,None,70.20942539600037,None,7.058317273000284,47.765581000001475,71.3425516820007,None,71.3425516820007,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/022122_bk2_pt2_recall_fmri_wav/recall_audio_2-1645467729.332.wav,0.011380657999325194,None,1,40.592194810000365,71.3425516820007,None,71.3425516820007,None,,,022122,1,3,1,3,3,2,0,58,2,2022_Feb_21_1321,recall_fmri,3.2.4,59.819348081445774,
3,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7689251920001,111.96812376100024,None,53.773831588001485,,,,,,,,,,,,,,,,,,,,,,,,,,,,022122,1,3,1,3,3,2,0,58,2,2022_Feb_21_1321,recall_fmri,3.2.4,59.819348081445774,
4,,,,,,,,,0,0,0,0,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.98542736300078,None,1,0.9202075159992091,117.98542736300078,None,117.98542736300078,None,117.98542736300078,None,54.72518962600043,63.68995879400063,118.94244354700095,None,118.94244354700095,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/022122_bk2_pt2_recall_fmri_wav/recall_audio_2-1645467777.933.wav,0.010322085332518327,None,1,8.919221436999578,118.94244354700095,None,118.94244354700095,None,,,022122,1,3,1,3,3,2,0,58,2,2022_Feb_21_1321,recall_fmri,3.2.4,59.819348081445774,
4,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.69335962100013,127.89363735200095,None,69.69009947000086,,,,,,,,,,,,,,,,,,,,,,,,,,,,022122,1,3,1,3,3,2,0,58,2,2022_Feb_21_1321,recall_fmri,3.2.4,59.819348081445774,
5,,,,,,,,,0,0,0,0,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.89293697300127,None,1,0.9468187230013427,133.89293697300127,None,133.89293697300127,None,133.89293697300127,None,70.65851574100088,86.85752962700099,134.8760450460013,None,134.8760450460013,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/022122_bk2_pt2_recall_fmri_wav/recall_audio_2-1645467793.865.wav,0.012178237331681885,None,1,16.151639444000466,134.8760450460013,None,134.8760450460013,None,,,022122,1,3,1,3,3,2,0,58,2,2022_Feb_21_1321,recall_fmri,3.2.4,59.819348081445774,
5,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.86108953900111,151.05973126900062,None,92.8571843990012,,,,,,,,,,,,,,,,,,,,,,,,,,,,022122,1,3,1,3,3,2,0,58,2,2022_Feb_21_1321,recall_fmri,3.2.4,59.819348081445774,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022122,1,3,1,3,3,2,0,58,2,2022_Feb_21_1321,recall_fmri,3.2.4,59.819348081445774,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.05988611800058,None,022122,1,3,1,3,3,2,0,58,2,2022_Feb_21_1321,recall_fmri,3.2.4,59.819348081445774,
,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.55988224000066,157.55988224000066,022122,1,3,1,3,3,2,0,58,2,2022_Feb_21_1321,recall_fmri,3.2.4,59.819348081445774,
