count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_17.thisRepN,trials_17.thisTrialN,trials_17.thisN,trials_17.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block1,action_list_block1,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,text_81.started,text_81.stopped,text_82.started,text_82.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_18.started,image_18.stopped,text_69.started,text_69.stopped,recall_audio.filename,recall_audio.started,recall_audio.stopped,key_resp_25.keys,key_resp_25.rt,key_resp_25.started,key_resp_25.stopped,text_80.started,text_80.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,part,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[31 21 32 41 42 12 11 22],[4 1 2 1 3 2 4 3],10.596069873000488,None,space,0.6074444220002988,10.596069873000488,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022122,1,3,1,3,3,1,0,58,2,2022_Feb_21_1307,recall_fmri,3.2.4,60.175832216999005,
3,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,11.22410115600087,None,equal,24.982007945000078,11.22410115600087,None,25.62476370100012,11.22410115600087,None,11.22410115600087,None,11.22410115600087,None,11.22410115600087,None,0.0006761519998690346,36.22407468500023,None,6.000108182999611,42.22921284400036,None,1,1.2268967469999552,42.22921284400036,None,42.22921284400036,None,42.22921284400036,None,7.250845767999635,166.48343028,43.56267857200055,None,43.56267857200055,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/022122_bk1_pt2_recall_fmri_wav/recall_audio-1645466892.549.wav,0.009121942999627208,None,1,159.1205700619994,43.56267857200055,None,43.56267857200055,None,,,022122,1,3,1,3,3,1,0,58,2,2022_Feb_21_1307,recall_fmri,3.2.4,60.175832216999005,
3,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.48700567699962,202.7078802140004,None,172.48397342999942,,,,,,,,,,,,,,,,,,,,,,,,,,,,022122,1,3,1,3,3,1,0,58,2,2022_Feb_21_1307,recall_fmri,3.2.4,60.175832216999005,
4,,,,,0,0,0,0,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.70712665800056,None,1,0.9859777659994506,208.70712665800056,None,208.70712665800056,None,208.70712665800056,None,173.50191987499966,291.95011246099966,209.74157896900033,None,209.74157896900033,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/022122_bk1_pt2_recall_fmri_wav/recall_audio-1645467058.730.wav,0.011505954999847745,None,1,118.41569350300051,209.74157896900033,None,209.74157896900033,None,,,022122,1,3,1,3,3,1,0,58,2,2022_Feb_21_1307,recall_fmri,3.2.4,60.175832216999005,
4,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.95362849699995,328.1744410070005,None,297.950842405,,,,,,,,,,,,,,,,,,,,,,,,,,,,022122,1,3,1,3,3,1,0,58,2,2022_Feb_21_1307,recall_fmri,3.2.4,60.175832216999005,
5,,,,,0,0,0,0,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.1744383290006,None,1,0.572817751999537,334.1744383290006,None,334.1744383290006,None,334.1744383290006,None,298.5515289109999,339.15129969699956,334.7914280620007,None,334.7914280620007,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/022122_bk1_pt2_recall_fmri_wav/recall_audio-1645467183.779.wav,0.01260084299974551,None,1,40.558800441999665,334.7914280620007,None,334.7914280620007,None,,,022122,1,3,1,3,3,1,0,58,2,2022_Feb_21_1307,recall_fmri,3.2.4,60.175832216999005,
5,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.1554860979995,375.37495136300004,None,345.15043054599937,,,,,,,,,,,,,,,,,,,,,,,,,,,,022122,1,3,1,3,3,1,0,58,2,2022_Feb_21_1307,recall_fmri,3.2.4,60.175832216999005,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022122,1,3,1,3,3,1,0,58,2,2022_Feb_21_1307,recall_fmri,3.2.4,60.175832216999005,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.37512830000014,None,022122,1,3,1,3,3,1,0,58,2,2022_Feb_21_1307,recall_fmri,3.2.4,60.175832216999005,
,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.87507990300037,381.87507990300037,022122,1,3,1,3,3,1,0,58,2,2022_Feb_21_1307,recall_fmri,3.2.4,60.175832216999005,
